,Name,Label,Editing,Model,Model_Type,Specifier,Value,Units,Temperature_Value,Temperature_Units,Value_Average,Temperature_Average,Pressure,Process,Direction_of_Measurement,Resolution,DOI,Title,Access_Type,Publisher,Publication_Year,Authors,Journal,kL_avg,composition_name
248,NaSbS2,,,ThermCond,lattice,lattice thermal conductivities,"[0.753, 1.173]",Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),0.963,300.0,,,,,10.1016/j.commatsci.2020.109818,"Electronic, optical, and thermoelectric properties of sodium pnictogen chalcogenides: A first principles study ",payment,Elsevier,2020,KHARE,Computational Materials Science,0.9630000000000001,NaSbS2
251,Sb2Te3,,,ThermCond,total,thermal conductivity,[0.94],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),0.94,295.0,,,,,10.1007/s11051-012-1204-y,Unique hierarchical structure and high thermoelectric properties of antimony telluride pillar arrays,payment,Springer,2012,"Tan Ming, Deng Yuan, Wang Yao",Journal of Nanoparticle Research,0.94,Sb2Te3
251,Sb2Te3,,,ThermCond,total,thermal conductivity,[0.94],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),0.94,295.0,,,,,10.1007/s11051-012-1204-y,Unique hierarchical structure and high thermoelectric properties of antimony telluride pillar arrays,payment,Springer,2012,"Tan Ming, Deng Yuan, Wang Yao",Journal of Nanoparticle Research,0.94,Sb2Te3
253,CrSi2,,doping of Cu,ThermCond,total,thermal conductivity,[5.0],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[900.0],Kelvin^(1.0),5.0,900.0,,,,,10.1016/j.mssp.2020.104917,Enhanced thermoelectric properties of pristine CrSi2 synthesized using a facile single-step spark plasma assisted reaction sintering ,payment,Elsevier,2020,UPADHYAY,Materials Science in Semiconductor Processing,5.0,CrSi2
254,YbCu9Sn4,,,ThermCond,lattice,lattice thermal conductivity,[2.7],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[180.0],Kelvin^(1.0),2.7,180.0,,,,,10.1016/j.jallcom.2014.05.090,Low lattice-thermal conductivity in a cage-structured compound YbCu9Sn4 with divalent Yb ions ,payment,Elsevier,2014,TSUJII,Journal of Alloys and Compounds,2.7,YbCu9Sn4
254,YbCu9Sn4,,,ThermCond,lattice,lattice thermal conductivity,[2.7],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[180.0],Kelvin^(1.0),2.7,180.0,,,,,10.1016/j.jallcom.2014.05.090,Low lattice-thermal conductivity in a cage-structured compound YbCu9Sn4 with divalent Yb ions ,payment,Elsevier,2014,TSUJII,Journal of Alloys and Compounds,2.7,YbCu9Sn4
263,Mg2Si,,,ThermCond,total,thermal conductivity,[8.75],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),8.75,300.0,,,,,10.1007/s11664-014-3419-4,Transmission Electron Microscopy Study of Mg2Si0.5Sn0.5 Solid Solution for High-Performance Thermoelectrics,payment,Springer,2015,"Liu Ji-Wei, Song Minghui, Takeguchi Masaki, Tsujii Naohito, Isoda Yukihiro",Journal of Electronic Materials,8.75,Mg2Si
264,SrMoO3,,,ThermCond,total,thermal conductivity,[30.0],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),30.0,295.0,,,,,10.1016/j.jallcom.2004.08.038,Thermal and electrical properties of perovskite-type strontium molybdate ,payment,Elsevier,2005,MAEKAWA,Journal of Alloys and Compounds,30.0,SrMoO3
280,MoS2,,,ThermCond,total,κPOA,"[23.2, 34.5]",Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),28.85,295.0,,,,,10.1038/s41598-019-41696-y,Low Lattice Thermal Conductivity of a Two-Dimensional Phosphorene Oxide,open,Springer,2019,"Lee Seungjun, Kang Seoung-Hun, Kwon Young-Kyun",Scientific Reports,28.85,MoS2
285,In2O3,,,ThermCond,total,thermal conductivity,[0.86],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),0.86,295.0,,,,,10.1016/j.micromeso.2019.05.050,"Ultralow thermal conductivity in
In
2
O
3
mediated by porous structures ",payment,Elsevier,2019,DU,Microporous and Mesoporous Materials,0.86,In2O3
285,In2O3,,,ThermCond,total,thermal conductivity,[0.86],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),0.86,295.0,,,,,10.1016/j.micromeso.2019.05.050,"Ultralow thermal conductivity in
In
2
O
3
mediated by porous structures ",payment,Elsevier,2019,DU,Microporous and Mesoporous Materials,0.86,In2O3
287,In2O3,,,ThermCond,total,minimum thermal conductivity,[0.9],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),0.9,295.0,,,,,10.1016/j.micromeso.2019.05.050,"Ultralow thermal conductivity in
In
2
O
3
mediated by porous structures ",payment,Elsevier,2019,DU,Microporous and Mesoporous Materials,0.9,In2O3
287,In2O3,,,ThermCond,total,minimum thermal conductivity,[0.9],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),0.9,295.0,,,,,10.1016/j.micromeso.2019.05.050,"Ultralow thermal conductivity in
In
2
O
3
mediated by porous structures ",payment,Elsevier,2019,DU,Microporous and Mesoporous Materials,0.9,In2O3
289,Bi2O2Se,,,ThermCond,total,thermal conductivity,"[0.7, 0.8]",Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[800.0],Kelvin^(1.0),0.75,800.0,,,,,10.1039/c9cp01867k,First-principles study of thermal transport properties in the two- and three-dimensional forms of Bi2O2Se,payment,RSC,2019,"Xue-Liang Zhu, Peng-Fei Liu, Guofeng Xie, Bao-Tian Wang, Xue-Liang Zhu, Peng-Fei Liu, Guofeng Xie, Bao-Tian Wang",Physical Chemistry Chemical Physics,0.75,Bi2O2Se
289,Bi2O2Se,,,ThermCond,total,thermal conductivity,"[0.7, 0.8]",Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[800.0],Kelvin^(1.0),0.75,800.0,,,,,10.1039/c9cp01867k,First-principles study of thermal transport properties in the two- and three-dimensional forms of Bi2O2Se,payment,RSC,2019,"Xue-Liang Zhu, Peng-Fei Liu, Guofeng Xie, Bao-Tian Wang, Xue-Liang Zhu, Peng-Fei Liu, Guofeng Xie, Bao-Tian Wang",Physical Chemistry Chemical Physics,0.75,Bi2O2Se
290,Bi2Te3,,,ThermCond,lattice,lattice thermal conductivity,[1.4],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),1.4,300.0,,,,,10.1016/j.jallcom.2020.154342,Excellent thermoelectric performance of BaMgSi driven by low lattice thermal conductivity: A promising thermoelectric material ,payment,Elsevier,2020,YANG,Journal of Alloys and Compounds,1.4,Bi2Te3
290,Bi2Te3,,,ThermCond,lattice,lattice thermal conductivity,[1.4],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),1.4,300.0,,,,,10.1016/j.jallcom.2020.154342,Excellent thermoelectric performance of BaMgSi driven by low lattice thermal conductivity: A promising thermoelectric material ,payment,Elsevier,2020,YANG,Journal of Alloys and Compounds,1.4,Bi2Te3
301,Yb14MnSb11,,,ThermCond,total,thermal conductivity,[0.7],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),0.7000000000000001,300.0,,,,,10.1039/c8ta00553b,"Phonon glass behavior beyond traditional cage structures: synthesis, crystal and electronic structure, and properties of KMg4Sb3",payment,RSC,2018,"Jian Wang, Lin-Lin Wang, Kirill Kovnir, Jian Wang, Lin-Lin Wang, Kirill Kovnir",Journal of Materials Chemistry A,0.7,Yb14MnSb11
301,Yb14MnSb11,,,ThermCond,total,thermal conductivity,[0.7],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),0.7000000000000001,300.0,,,,,10.1039/c8ta00553b,"Phonon glass behavior beyond traditional cage structures: synthesis, crystal and electronic structure, and properties of KMg4Sb3",payment,RSC,2018,"Jian Wang, Lin-Lin Wang, Kirill Kovnir, Jian Wang, Lin-Lin Wang, Kirill Kovnir",Journal of Materials Chemistry A,0.7,Yb14MnSb11
304,Ca3AlSb3,,,ThermCond,total,thermal conductivity,[1.3],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),1.3,300.0,,,,,10.1039/c8ta00553b,"Phonon glass behavior beyond traditional cage structures: synthesis, crystal and electronic structure, and properties of KMg4Sb3",payment,RSC,2018,"Jian Wang, Lin-Lin Wang, Kirill Kovnir, Jian Wang, Lin-Lin Wang, Kirill Kovnir",Journal of Materials Chemistry A,1.3,Ca3AlSb3
304,Ca3AlSb3,,,ThermCond,total,thermal conductivity,[1.3],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),1.3,300.0,,,,,10.1039/c8ta00553b,"Phonon glass behavior beyond traditional cage structures: synthesis, crystal and electronic structure, and properties of KMg4Sb3",payment,RSC,2018,"Jian Wang, Lin-Lin Wang, Kirill Kovnir, Jian Wang, Lin-Lin Wang, Kirill Kovnir",Journal of Materials Chemistry A,1.3,Ca3AlSb3
305,Mg3Sb2,,,ThermCond,total,thermal conductivity,[4.2],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),4.2,300.0,,,,,10.1039/c8ta00553b,"Phonon glass behavior beyond traditional cage structures: synthesis, crystal and electronic structure, and properties of KMg4Sb3",payment,RSC,2018,"Jian Wang, Lin-Lin Wang, Kirill Kovnir, Jian Wang, Lin-Lin Wang, Kirill Kovnir",Journal of Materials Chemistry A,4.2,Mg3Sb2
305,Mg3Sb2,,,ThermCond,total,thermal conductivity,[4.2],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),4.2,300.0,,,,,10.1039/c8ta00553b,"Phonon glass behavior beyond traditional cage structures: synthesis, crystal and electronic structure, and properties of KMg4Sb3",payment,RSC,2018,"Jian Wang, Lin-Lin Wang, Kirill Kovnir, Jian Wang, Lin-Lin Wang, Kirill Kovnir",Journal of Materials Chemistry A,4.2,Mg3Sb2
327,Cu12Sb4S13,,,ThermCond,total,κT,"[1.2, 1.4]",Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),"[373.0, 673.0]",Kelvin^(1.0),1.3,523.0,,,,,10.1039/c8cp05479g,Electronic and thermoelectric properties of Zn and Se double substituted tetrahedrite,payment,RSC,2018,"Sahil Tippireddy, Raju Chetty, Krushna Kumari Raut, Mit H. Naik, Prashanta K. Mukharjee, Manish Jain, R. Nath, Krzysztof Wojciechowski, Ramesh Chandra Mallik, Sahil Tippireddy, Raju Chetty, Krushna Kumari Raut, Mit H. Naik, Prashanta K. Mukharjee, Manish Jain, R. Nath, Krzysztof Wojciechowski, Ramesh Chandra Mallik",Physical Chemistry Chemical Physics,1.2999999999999998,Cu12Sb4S13
327,Cu12Sb4S13,,,ThermCond,total,κT,"[1.2, 1.4]",Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),"[373.0, 673.0]",Kelvin^(1.0),1.3,523.0,,,,,10.1039/c8cp05479g,Electronic and thermoelectric properties of Zn and Se double substituted tetrahedrite,payment,RSC,2018,"Sahil Tippireddy, Raju Chetty, Krushna Kumari Raut, Mit H. Naik, Prashanta K. Mukharjee, Manish Jain, R. Nath, Krzysztof Wojciechowski, Ramesh Chandra Mallik, Sahil Tippireddy, Raju Chetty, Krushna Kumari Raut, Mit H. Naik, Prashanta K. Mukharjee, Manish Jain, R. Nath, Krzysztof Wojciechowski, Ramesh Chandra Mallik",Physical Chemistry Chemical Physics,1.2999999999999998,Cu12Sb4S13
327,Cu12Sb4S13,,,ThermCond,total,κT,"[1.2, 1.4]",Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),"[373.0, 673.0]",Kelvin^(1.0),1.3,523.0,,,,,10.1039/c8cp05479g,Electronic and thermoelectric properties of Zn and Se double substituted tetrahedrite,payment,RSC,2018,"Sahil Tippireddy, Raju Chetty, Krushna Kumari Raut, Mit H. Naik, Prashanta K. Mukharjee, Manish Jain, R. Nath, Krzysztof Wojciechowski, Ramesh Chandra Mallik, Sahil Tippireddy, Raju Chetty, Krushna Kumari Raut, Mit H. Naik, Prashanta K. Mukharjee, Manish Jain, R. Nath, Krzysztof Wojciechowski, Ramesh Chandra Mallik",Physical Chemistry Chemical Physics,1.2999999999999998,Cu12Sb4S13
332,Bi2Te3,,,ThermCond,lattice,lattice thermal conductivity,[0.2],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[373.0],Kelvin^(1.0),0.2,373.0,,SPS,,,10.1016/j.matdes.2020.108662,A review of multi-physical fields induced phenomena and effects in spark plasma sintering: Fundamentals and applications ,open,Elsevier,2020,HU,Materials & Design,0.2,Bi2Te3
332,Bi2Te3,,,ThermCond,lattice,lattice thermal conductivity,[0.2],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[373.0],Kelvin^(1.0),0.2,373.0,,SPS,,,10.1016/j.matdes.2020.108662,A review of multi-physical fields induced phenomena and effects in spark plasma sintering: Fundamentals and applications ,open,Elsevier,2020,HU,Materials & Design,0.2,Bi2Te3
334,Sb2Te3,,,ThermCond,total,thermal conductivity,[0.76],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[420.0],Kelvin^(1.0),0.76,420.0,,,,,10.1039/c5ra17284e,"Low temperature, shape-selective formation of Sb2Te3 nanomaterials and their thermoelectric applications",payment,RSC,2015,"U. Nithiyanantham, Sivasankara Rao Ede, M. Fevzi Ozaydin, Hong Liang, A. Rathishkumar, Subrata Kundu, U. Nithiyanantham, Sivasankara Rao Ede, M. Fevzi Ozaydin, Hong Liang, A. Rathishkumar, Subrata Kundu",RSC Advances,0.76,Sb2Te3
334,Sb2Te3,,,ThermCond,total,thermal conductivity,[0.76],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[420.0],Kelvin^(1.0),0.76,420.0,,,,,10.1039/c5ra17284e,"Low temperature, shape-selective formation of Sb2Te3 nanomaterials and their thermoelectric applications",payment,RSC,2015,"U. Nithiyanantham, Sivasankara Rao Ede, M. Fevzi Ozaydin, Hong Liang, A. Rathishkumar, Subrata Kundu, U. Nithiyanantham, Sivasankara Rao Ede, M. Fevzi Ozaydin, Hong Liang, A. Rathishkumar, Subrata Kundu",RSC Advances,0.76,Sb2Te3
347,Cu2Se,,,ThermCond,lattice,lattice thermal conductivity,[0.2],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[850.0],Kelvin^(1.0),0.2,850.0,,,,,10.1007/s10853-020-04949-0,Review of current high-ZT thermoelectric materials,payment,Springer,2020,"Wei Jiangtao, Yang Liangliang, Ma Zhe, Song Peishuai, Zhang Mingliang, Ma Jing, Yang Fuhua, Wang Xiaodong",Journal of Materials Science,0.2,Cu2Se
374,SmSe2,,,ThermCond,total,κtot,[1.83],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),1.83,295.0,,,,,10.1039/d0ta04830e,High-performance p-type elemental Te thermoelectric materials enabled by the synergy of carrier tuning and phonon engineering,payment,RSC,2020,"Decheng An, Shaoping Chen, Xin Zhai, Yuan Yu, Wenhao Fan, Tingting Zhang, Yequn Liu, Yucheng Wu, Wenxian Wang, G. Jeffrey Snyder, Decheng An, Shaoping Chen, Xin Zhai, Yuan Yu, Wenhao Fan, Tingting Zhang, Yequn Liu, Yucheng Wu, Wenxian Wang, G. Jeffrey Snyder",Journal of Materials Chemistry A,1.83,SmSe2
381,Cu2SnSe3,,,ThermCond,lattice,lattice thermal conductivity,[2.66],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),2.66,300.0,,,,,10.1016/j.actamat.2013.04.003,"Investigation of thermoelectric properties of Cu2Ga
x
Sn1
−
x
Se3 diamond-like compounds by hot pressing and spark plasma sintering ",payment,Elsevier,2013,FAN,Acta Materialia,2.66,Cu2SnSe3
381,Cu2SnSe3,,,ThermCond,lattice,lattice thermal conductivity,[2.66],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),2.66,300.0,,,,,10.1016/j.actamat.2013.04.003,"Investigation of thermoelectric properties of Cu2Ga
x
Sn1
−
x
Se3 diamond-like compounds by hot pressing and spark plasma sintering ",payment,Elsevier,2013,FAN,Acta Materialia,2.66,Cu2SnSe3
384,Cu2SnSe3,,,ThermCond,total,thermal conductivity,[2.7],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),2.7,295.0,,,,,10.1016/j.matchemphys.2014.06.054,"Thermoelectric properties of Zn doped Cu2SnSe3
",payment,Elsevier,2014,RAJU,Materials Chemistry and Physics,2.7,Cu2SnSe3
384,Cu2SnSe3,,,ThermCond,total,thermal conductivity,[2.7],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[295],Kelvin^(1.0),2.7,295.0,,,,,10.1016/j.matchemphys.2014.06.054,"Thermoelectric properties of Zn doped Cu2SnSe3
",payment,Elsevier,2014,RAJU,Materials Chemistry and Physics,2.7,Cu2SnSe3
394,SiO2,,,ThermCond,total,κ,[1.6],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),"[323.0, 623.0]",Kelvin^(1.0),1.6,473.0,,,,,10.1016/j.jallcom.2017.09.305,Enhanced thermoelectric properties of Cu1.8S by Ti-doping induced secondary phase ,payment,Elsevier,2018,LIANG,Journal of Alloys and Compounds,1.6,SiO2
401,CrSb2,,,ThermCond,total,thermal conductivity,[30.3],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[50.0],Kelvin^(1.0),30.3,50.0,,,,,10.1016/j.jallcom.2010.12.159,"Resistivity, thermopower, and thermal conductivity of nickel doped compounds Cr1−x
Ni
x
Sb2 at low temperatures ",payment,Elsevier,2011,LI,Journal of Alloys and Compounds,30.3,CrSb2
412,Tl2Ag12Te7,,substituting 40 % of Ag with Cu,ThermCond,total,thermal conductivity,[0.25],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[525.0],Kelvin^(1.0),0.25,525.0,,,,,10.1039/c9tc02029b,Ultralow thermal conductivity of Tl4Ag18Te11,payment,RSC,2019,"Yixuan Shi, Nour Mashmoushi, Wojciech Wegner, Parisa Jafarzadeh, Zahra Sepahi, Abdeljalil Assoud, Holger Kleinke, Yixuan Shi, Nour Mashmoushi, Wojciech Wegner, Parisa Jafarzadeh, Zahra Sepahi, Abdeljalil Assoud, Holger Kleinke",Journal of Materials Chemistry C,0.25,Tl2Ag12Te7
412,Tl2Ag12Te7,,substituting 40 % of Ag with Cu,ThermCond,total,thermal conductivity,[0.25],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[525.0],Kelvin^(1.0),0.25,525.0,,,,,10.1039/c9tc02029b,Ultralow thermal conductivity of Tl4Ag18Te11,payment,RSC,2019,"Yixuan Shi, Nour Mashmoushi, Wojciech Wegner, Parisa Jafarzadeh, Zahra Sepahi, Abdeljalil Assoud, Holger Kleinke, Yixuan Shi, Nour Mashmoushi, Wojciech Wegner, Parisa Jafarzadeh, Zahra Sepahi, Abdeljalil Assoud, Holger Kleinke",Journal of Materials Chemistry C,0.25,Tl2Ag12Te7
412,Tl2Ag12Te7,,substituting 40 % of Ag with Cu,ThermCond,total,thermal conductivity,[0.25],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[525.0],Kelvin^(1.0),0.25,525.0,,,,,10.1039/c9tc02029b,Ultralow thermal conductivity of Tl4Ag18Te11,payment,RSC,2019,"Yixuan Shi, Nour Mashmoushi, Wojciech Wegner, Parisa Jafarzadeh, Zahra Sepahi, Abdeljalil Assoud, Holger Kleinke, Yixuan Shi, Nour Mashmoushi, Wojciech Wegner, Parisa Jafarzadeh, Zahra Sepahi, Abdeljalil Assoud, Holger Kleinke",Journal of Materials Chemistry C,0.25,Tl2Ag12Te7
414,Tl4Ag18Te11,,,ThermCond,total,thermal conductivity,[0.44],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[500.0],Kelvin^(1.0),0.44,500.0,,,,,10.1039/c9tc02029b,Ultralow thermal conductivity of Tl4Ag18Te11,payment,RSC,2019,"Yixuan Shi, Nour Mashmoushi, Wojciech Wegner, Parisa Jafarzadeh, Zahra Sepahi, Abdeljalil Assoud, Holger Kleinke, Yixuan Shi, Nour Mashmoushi, Wojciech Wegner, Parisa Jafarzadeh, Zahra Sepahi, Abdeljalil Assoud, Holger Kleinke",Journal of Materials Chemistry C,0.44,Tl4Ag18Te11
414,Tl4Ag18Te11,,,ThermCond,total,thermal conductivity,[0.44],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[500.0],Kelvin^(1.0),0.44,500.0,,,,,10.1039/c9tc02029b,Ultralow thermal conductivity of Tl4Ag18Te11,payment,RSC,2019,"Yixuan Shi, Nour Mashmoushi, Wojciech Wegner, Parisa Jafarzadeh, Zahra Sepahi, Abdeljalil Assoud, Holger Kleinke, Yixuan Shi, Nour Mashmoushi, Wojciech Wegner, Parisa Jafarzadeh, Zahra Sepahi, Abdeljalil Assoud, Holger Kleinke",Journal of Materials Chemistry C,0.44,Tl4Ag18Te11
414,Tl4Ag18Te11,,,ThermCond,total,thermal conductivity,[0.44],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[500.0],Kelvin^(1.0),0.44,500.0,,,,,10.1039/c9tc02029b,Ultralow thermal conductivity of Tl4Ag18Te11,payment,RSC,2019,"Yixuan Shi, Nour Mashmoushi, Wojciech Wegner, Parisa Jafarzadeh, Zahra Sepahi, Abdeljalil Assoud, Holger Kleinke, Yixuan Shi, Nour Mashmoushi, Wojciech Wegner, Parisa Jafarzadeh, Zahra Sepahi, Abdeljalil Assoud, Holger Kleinke",Journal of Materials Chemistry C,0.44,Tl4Ag18Te11
418,CsAg5Te3,,,ThermCond,lattice,lattice thermal conductivity,[0.14],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[727.0],Kelvin^(1.0),0.14,727.0,,,,,10.1039/c9tc02029b,Ultralow thermal conductivity of Tl4Ag18Te11,payment,RSC,2019,"Yixuan Shi, Nour Mashmoushi, Wojciech Wegner, Parisa Jafarzadeh, Zahra Sepahi, Abdeljalil Assoud, Holger Kleinke, Yixuan Shi, Nour Mashmoushi, Wojciech Wegner, Parisa Jafarzadeh, Zahra Sepahi, Abdeljalil Assoud, Holger Kleinke",Journal of Materials Chemistry C,0.14,CsAg5Te3
418,CsAg5Te3,,,ThermCond,lattice,lattice thermal conductivity,[0.14],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[727.0],Kelvin^(1.0),0.14,727.0,,,,,10.1039/c9tc02029b,Ultralow thermal conductivity of Tl4Ag18Te11,payment,RSC,2019,"Yixuan Shi, Nour Mashmoushi, Wojciech Wegner, Parisa Jafarzadeh, Zahra Sepahi, Abdeljalil Assoud, Holger Kleinke, Yixuan Shi, Nour Mashmoushi, Wojciech Wegner, Parisa Jafarzadeh, Zahra Sepahi, Abdeljalil Assoud, Holger Kleinke",Journal of Materials Chemistry C,0.14,CsAg5Te3
429,Gd2CuO4,,,ThermCond,total,highest thermal conductivity,[30.0],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[330.0],Kelvin^(1.0),30.0,330.0,,,,,10.1016/S0925-8388(02)00875-7,Thermophysical properties of layered rare earth copper oxides ,payment,Elsevier,2003,YAMANAKA,Journal of Alloys and Compounds,30.0,Gd2CuO4
429,Gd2CuO4,,,ThermCond,total,highest thermal conductivity,[30.0],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[330.0],Kelvin^(1.0),30.0,330.0,,,,,10.1016/S0925-8388(02)00875-7,Thermophysical properties of layered rare earth copper oxides ,payment,Elsevier,2003,YAMANAKA,Journal of Alloys and Compounds,30.0,Gd2CuO4
440,CuSbSe2,,,ThermCond,lattice,κL,[0.49],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),0.49,300.0,,,,,10.1016/j.mattod.2019.07.003,"Layered oxygen-containing thermoelectric materials: Mechanisms, strategies, and beyond ",payment,Elsevier,2019,REN,Materials Today,0.49,CuSbSe2
452,PtTe2,,,ThermCond,lattice,κp,[0.207],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),0.207,300.0,,,,,10.1016/j.apsusc.2020.147387,"Remarkable intrinsic ZT in the 2D PtX2(X = O, S, Se, Te) monolayers at room temperature ",payment,Elsevier,2020,ZHANG,Applied Surface Science,0.207,PtTe2
454,Mg3SbBi,,,ThermCond,lattice,κlat,[2.1],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[300.0],Kelvin^(1.0),2.1,300.0,,,,,10.1039/c8ta07285j,Designing high-performance n-type Mg3Sb2-based thermoelectric materials through forming solid solutions and biaxial strain,payment,RSC,2018,"Juan Li, Shuai Zhang, Boyi Wang, Shichao Liu, Luo Yue, Guiwu Lu, Shuqi Zheng, Juan Li, Shuai Zhang, Boyi Wang, Shichao Liu, Luo Yue, Guiwu Lu, Shuqi Zheng",Journal of Materials Chemistry A,2.1,Mg3SbBi
459,NdMo8O14,,,ThermCond,total,thermal conductivity,[3.19],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[322.0],Kelvin^(1.0),3.19,322.0,,,,,10.1016/j.jallcom.2010.03.201,High thermoelectric performance of reduced lanthanide molybdenum oxides densified by spark plasma sintering ,payment,Elsevier,2010,XU,Journal of Alloys and Compounds,3.19,NdMo8O14
459,NdMo8O14,,,ThermCond,total,thermal conductivity,[3.19],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[322.0],Kelvin^(1.0),3.19,322.0,,,,,10.1016/j.jallcom.2010.03.201,High thermoelectric performance of reduced lanthanide molybdenum oxides densified by spark plasma sintering ,payment,Elsevier,2010,XU,Journal of Alloys and Compounds,3.19,NdMo8O14
469,Ca3Co4O9,,,ThermCond,total,Thermal conductivity,[1.34],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[973.0],Kelvin^(1.0),1.34,973.0,,,,,10.1007/s00339-018-1860-6,Effects of addition of Bi2Ca2Co2Oy on the thermoelectric properties of Ca3Co4O9 polycrystalline ceramics,payment,Springer,2018,"Feng Ningbo, Liao Y. W., Lu Y., He Y., Jin Y. R., Liu X. R.",Applied Physics A,1.34,Ca3Co4O9
469,Ca3Co4O9,,,ThermCond,total,Thermal conductivity,[1.34],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[973.0],Kelvin^(1.0),1.34,973.0,,,,,10.1007/s00339-018-1860-6,Effects of addition of Bi2Ca2Co2Oy on the thermoelectric properties of Ca3Co4O9 polycrystalline ceramics,payment,Springer,2018,"Feng Ningbo, Liao Y. W., Lu Y., He Y., Jin Y. R., Liu X. R.",Applied Physics A,1.34,Ca3Co4O9
469,Ca3Co4O9,,,ThermCond,total,Thermal conductivity,[1.34],Kelvin^(-1.0)  Meter^(-1.0)  Watt^(1.0),[973.0],Kelvin^(1.0),1.34,973.0,,,,,10.1007/s00339-018-1860-6,Effects of addition of Bi2Ca2Co2Oy on the thermoelectric properties of Ca3Co4O9 polycrystalline ceramics,payment,Springer,2018,"Feng Ningbo, Liao Y. W., Lu Y., He Y., Jin Y. R., Liu X. R.",Applied Physics A,1.34,Ca3Co4O9
